trial,algo,init_value,best_value,iterations,time_sec
0,hill,12.8,7.9,98,0.05107419998967089
0,sa,12.8,5.25,1700,0.027697600016836077
0,ga,12.8,5.3,250,1.0982591999927536
1,hill,11.5,5.85,75,0.04091780001181178
1,sa,11.5,5.45,1700,0.02787910000188276
1,ga,11.5,5.25,250,1.1095422999933362
2,hill,15.7,7.35,91,0.046338100015418604
2,sa,15.7,8.75,1700,0.02736680000089109
2,ga,15.7,5.2,250,1.0923474000010174
3,hill,14.2,5.75,93,0.04744940000819042
3,sa,14.2,5.6,1700,0.027183999976841733
3,ga,14.2,5.2,250,1.0802885000011884
4,hill,13.1,7.65,109,0.0565000000060536
4,sa,13.1,5.2,1700,0.027066899987403303
4,ga,13.1,5.25,250,1.1637181999976747
5,hill,11.6,5.55,83,0.04722190002212301
5,sa,11.6,5.3,1700,0.029790200002025813
5,ga,11.6,5.2,250,1.1465981999936048
6,hill,13.0,5.8,106,0.06406930001685396
6,sa,13.0,5.25,1700,0.02911810000659898
6,ga,13.0,5.05,250,1.1433783999818843
7,hill,15.05,7.65,110,0.057666100008646026
7,sa,15.05,5.3,1700,0.029345500021008775
7,ga,15.05,5.2,250,1.1120797999901697
8,hill,15.8,9.1,96,0.053825800016056746
8,sa,15.8,5.25,1700,0.029074599995510653
8,ga,15.8,5.25,250,1.096495900012087
9,hill,10.2,6.15,81,0.038694099988788366
9,sa,10.2,5.5,1700,0.02787210000678897
9,ga,10.2,5.15,250,1.0830027000047266
10,hill,16.25,9.4,61,0.035593499982496724
10,sa,16.25,5.4,1700,0.026842999999644235
10,ga,16.25,5.2,250,1.143601599993417
11,hill,13.2,7.45,77,0.041924400022253394
11,sa,13.2,7.05,1700,0.029972299991641194
11,ga,13.2,5.2,250,1.1841667999979109
12,hill,11.9,5.65,87,0.05573020002339035
12,sa,11.9,5.3,1700,0.03109909998602234
12,ga,11.9,5.2,250,1.1194236000010278
13,hill,11.75,5.55,86,0.04672810001648031
13,sa,11.75,7.1,1700,0.029344199982006103
13,ga,11.75,5.15,250,1.1446212000155356
14,hill,14.9,10.9,80,0.043934799992712215
14,sa,14.9,5.3,1700,0.029720500024268404
14,ga,14.9,5.2,250,1.1024130000150762
15,hill,20.9,7.8,110,0.05601659999229014
15,sa,20.9,5.4,1700,0.029649199976120144
15,ga,20.9,5.3,250,1.239114800002426
16,hill,14.7,6.1,96,0.05028550000861287
16,sa,14.7,5.3,1700,0.027748599997721612
16,ga,14.7,5.25,250,1.1117896999930963
17,hill,12.35,9.0,67,0.03728030002093874
17,sa,12.35,5.25,1700,0.02879489999031648
17,ga,12.35,5.25,250,1.1162614000204485
18,hill,14.6,7.35,69,0.041192400007275864
18,sa,14.6,5.35,1700,0.02776659998926334
18,ga,14.6,5.2,250,1.1596488999784924
19,hill,12.1,5.7,90,0.0439401000039652
19,sa,12.1,5.5,1700,0.02728229999775067
19,ga,12.1,5.2,250,1.1439353000023402
